invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,total_price,profit_margin,
1,WALM003,San Antonio,Health and beauty,74.69,7,1/5/2019,13:08:00,Ewallet,9.1,522.83,0.48,
2,WALM048,Harlingen,Electronic accessories,15.28,5,3/8/2019,10:29:00,Cash,9.6,76.4,0.48,
3,WALM067,Haltom City,Home and lifestyle,46.33,7,3/3/2019,13:23:00,Credit card,7.4,324.31,0.33,
4,WALM064,Bedford,Health and beauty,58.22,8,1/27/2019,20:33:00,Ewallet,8.4,465.76,0.33,
5,WALM013,Irving,Sports and travel,86.31,7,2/8/2019,10:37:00,Ewallet,5.3,604.17,0.48,
6,WALM026,Denton,Electronic accessories,85.39,7,3/25/2019,18:30:00,Ewallet,4.1,597.73,0.48,
7,WALM088,Cleburne,Electronic accessories,68.84,6,2/25/2019,14:36:00,Ewallet,5.8,413.04,0.33,
8,WALM100,Canyon,Home and lifestyle,73.56,10,2/24/2019,11:38:00,Ewallet,8,735.6,0.18,
9,WALM066,Grapevine,Health and beauty,36.26,2,1/10/2019,17:15:00,Credit card,7.2,72.52,0.33,
10,WALM065,Texas City,Food and beverages,54.84,3,2/20/2019,13:27:00,Credit card,5.9,164.52,0.33,
11,WALM013,Irving,Fashion accessories,14.48,4,2/6/2019,18:07:00,Ewallet,4.5,57.92,0.48,
12,WALM035,San Angelo,Electronic accessories,25.51,4,3/9/2019,17:03:00,Cash,6.8,102.04,0.48,
13,WALM027,Abilene,Electronic accessories,46.95,5,2/12/2019,10:25:00,Ewallet,7.1,234.75,0.48,
14,WALM035,San Angelo,Food and beverages,43.19,10,2/7/2019,16:48:00,Ewallet,8.2,431.9,0.48,
15,WALM031,Lewisville,Health and beauty,71.38,10,3/29/2019,19:21:00,Cash,5.7,713.8,0.48,
16,WALM008,Corpus Christi,Sports and travel,93.72,6,1/15/2019,16:19:00,Cash,4.5,562.32,0.48,
17,WALM029,Round Rock,Health and beauty,68.93,7,3/11/2019,11:03:00,Credit card,4.6,482.51,0.48,
18,WALM061,Cedar Park,Sports and travel,72.61,6,1/1/2019,10:39:00,Credit card,6.9,435.66,0.33,
19,WALM053,Conroe,Food and beverages,54.67,3,1/21/2019,18:00:00,Credit card,8.6,164.01,0.57,
20,WALM013,Irving,Home and lifestyle,40.3,2,3/11/2019,15:30:00,Ewallet,4.4,80.6,0.48,
21,WALM044,Pharr,Electronic accessories,86.04,5,2/25/2019,11:24:00,Ewallet,4.8,430.2,0.48,
22,WALM088,Cleburne,Health and beauty,87.98,3,3/5/2019,10:40:00,Ewallet,5.1,263.94,0.33,
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2,3/15/2019,12:20:00,Credit card,4.4,66.4,0.33,
24,WALM067,Haltom City,Electronic accessories,34.56,5,2/17/2019,11:15:00,Ewallet,9.9,172.8,0.33,
25,WALM023,Midland,Sports and travel,88.63,3,3/2/2019,17:36:00,Ewallet,6,265.89,0.48,
26,WALM001,Houston,Home and lifestyle,52.59,8,3/22/2019,19:20:00,Credit card,8.5,420.72,0.36,
27,WALM072,Lancaster,Fashion accessories,33.52,1,2/8/2019,15:31:00,Cash,6.7,33.52,0.33,
28,WALM046,Temple,Fashion accessories,87.67,2,3/10/2019,12:17:00,Credit card,7.7,175.34,0.48,
29,WALM012,Garland,Food and beverages,88.36,5,1/25/2019,19:48:00,Cash,9.6,441.8,0.48,
30,WALM075,San Marcos,Health and beauty,24.89,9,3/15/2019,15:36:00,Cash,7.4,224.01,0.33,
31,WALM076,Huntsville,Fashion accessories,94.13,5,2/25/2019,19:39:00,Credit card,4.8,470.65,0.33,
32,WALM098,Mineral Wells,Sports and travel,78.07,9,1/28/2019,12:43:00,Cash,4.5,702.63,0.18,
33,WALM021,McAllen,Sports and travel,83.78,8,1/10/2019,14:49:00,Cash,5.1,670.24,0.48,
34,WALM096,Eagle Pass,Health and beauty,96.58,2,3/15/2019,10:12:00,Credit card,5.1,193.16,0.18,
35,WALM022,Mesquite,Food and beverages,99.42,4,2/6/2019,10:42:00,Ewallet,7.5,397.68,0.48,
36,WALM095,Big Spring,Sports and travel,68.12,1,1/7/2019,12:28:00,Ewallet,6.8,68.12,0.33,
